subscription_id,customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,customer_name,country,state,gender,dob,support_id,complaint_date,escalations,csat_score,churn_flag,complaint_count,age,age_group,churn_risk
601,1824-AZJHH,2025-06-03,Paid,2025-08-02,Premium,Monthly,,,42.02,3439.0,44,Rakesh Iyer,India,Chandigarh,Male,1962-10-19,2.0,2026-06-24,N,87.0,0,1,63,61-70,Low
602,9195-GYWYT,2022-04-11,Referral,2022-05-11,Basic,Monthly,,,12.92,2136.0,35,Kavita Pandey,India,Goa,Female,1979-12-16,7.0,2025-06-12,Y,95.0,0,1,42,41-50,Low
603,5514-DCNDM,2021-06-13,Paid,2021-07-13,Standard,Monthly,2024-09-24,Too expensive,24.51,460.0,67,Jaya Malhotra,India,Karnataka,Female,1996-03-20,9.0,2023-10-07,Y,9.0,1,1,25,21-30,Medium
604,5925-UGYCB,2021-10-08,Referral,2021-11-07,Basic,Monthly,2023-02-24,Service issue,11.32,270.0,77,Om Bhat,India,Delhi,Male,1975-11-20,10.0,2023-02-23,Y,16.0,1,1,46,41-50,High
605,4374-YXWCV,2024-05-04,Trial,2024-10-31,Standard,Monthly,,,22.79,1122.0,50,Varun Chopra,India,West Bengal,Male,1996-06-21,14.0,2026-04-20,N,74.0,0,1,28,21-30,Medium
606,5168-NJCGU,2022-02-26,Paid,2025-02-26,Standard,Annual,2022-08-20,Poor customer support,16.91,664.0,91,Sneha Yadav,India,Bihar,Female,1996-03-01,15.0,2022-07-22,N,64.0,1,1,26,21-30,High
607,9560-NMHES,2021-06-05,Paid,2023-06-05,Premium,Annual,2023-02-04,Not using service,28.18,728.0,97,Myra Patel,India,Tamil Nadu,Female,1968-09-17,17.0,2021-07-27,N,26.0,1,1,53,51-60,High
608,7668-SJTAX,2026-05-17,Paid,2026-12-31,Basic,Annual,,,10.58,1533.0,2,Ashok Rathore,India,Telangana,Male,1985-07-08,19.0,2026-07-10,N,30.0,0,1,41,41-50,Low
609,8317-DWKWS,2024-12-09,Referral,2026-12-09,Premium,Annual,,,48.21,892.0,2,Ishaan Mukherjee,India,West Bengal,Male,2003-05-23,21.0,2025-04-01,N,26.0,0,1,22,21-30,Low
610,5038-HBHUC,2025-12-17,Organic,2026-02-15,Basic,Monthly,,,12.67,2996.0,47,Kunal Yadav,India,Delhi,Male,2002-10-16,24.0,2026-07-20,N,22.0,0,1,23,21-30,Low
611,6932-GTZYG,2022-05-23,Referral,2023-05-23,Premium,Annual,2022-10-25,Other,31.02,629.0,90,Nisha Mukherjee,India,Odisha,Female,2001-06-07,25.0,2022-09-20,Y,94.0,1,1,21,21-30,High
612,9641-HACYW,2020-01-29,Referral,2020-06-27,Premium,Monthly,,,30.92,2953.0,5,Yash Reddy,India,Karnataka,Male,1984-08-23,26.0,2023-04-28,Y,77.0,0,1,35,31-40,Low
613,9355-URHRP,2024-05-22,Paid,2024-07-21,Standard,Monthly,,,19.44,1100.0,50,Reyansh Iyer,India,Madhya Pradesh,Male,1986-10-14,,,,,0,0,38,31-40,Medium
614,1790-HGGTQ,2025-07-15,Organic,2026-12-31,Premium,Annual,,,49.9,335.0,42,Pradeep Mehta,India,Telangana,Male,1996-07-03,28.0,2026-07-31,Y,26.0,0,1,29,21-30,Low
615,8856-ACHFP,2020-10-23,Trial,2021-10-23,Standard,Annual,2023-11-19,Poor customer support,14.96,356.0,100,Aishwarya Joshi,India,Bihar,Female,1960-04-05,30.0,2022-12-12,Y,41.0,1,1,61,61-70,High
616,9105-XYREG,2022-07-22,Paid,2025-07-22,Standard,Annual,2025-01-30,Poor customer support,22.49,427.0,92,Sneha Patel,India,Goa,Female,2003-08-23,31.0,2023-07-06,N,10.0,1,1,19,11-20,High
617,8701-FBSCF,2024-07-03,Paid,2024-11-30,Premium,Monthly,,,27.71,607.0,5,Raghav Reddy,India,Rajasthan,Male,1991-03-23,33.0,2026-05-22,N,74.0,0,1,33,31-40,Low
618,6868-XUUSL,2026-02-22,Referral,2026-03-24,Standard,Monthly,,,24.83,1687.0,18,Sneha Agarwal,India,Rajasthan,Female,1978-10-30,35.0,2026-08-07,N,8.0,0,1,47,41-50,Low
619,9224-DCTGS,2021-10-18,Organic,2022-04-16,Basic,Monthly,,,6.33,2084.0,21,Anika Chatterjee,India,Delhi,Female,1976-11-30,39.0,2024-08-21,Y,31.0,0,1,45,41-50,Low
620,9086-KXDEJ,2022-09-19,Paid,2023-01-17,Standard,Monthly,2025-11-14,Service issue,21.27,395.0,82,Reyansh Naidu,India,Uttar Pradesh,Male,1979-06-08,40.0,2025-08-09,N,1.0,1,1,43,41-50,High
621,0832-CWPJB,2020-11-15,Trial,2021-11-15,Basic,Annual,2024-07-03,Service issue,11.17,548.0,78,Suresh Singh,India,Telangana,Male,1969-06-30,43.0,2024-06-03,N,85.0,1,1,51,51-60,High
622,2442-TBMUT,2019-09-24,Trial,2019-12-23,Standard,Monthly,,,21.74,3789.0,22,Pradeep Singh,India,Karnataka,Male,1982-08-28,44.0,2022-07-17,N,16.0,0,1,37,31-40,Low
623,9173-PVZEH,2023-05-19,Organic,2024-05-19,Standard,Annual,2024-01-21,Not using service,20.57,767.0,100,Kabir Sengupta,India,Maharashtra,Male,1971-02-03,45.0,2023-09-11,N,74.0,1,1,52,51-60,High
624,0634-RHGQM,2022-10-27,Paid,2024-10-27,Basic,Annual,,,8.8,2726.0,32,Kavita Desai,India,Maharashtra,Female,1972-04-29,46.0,2024-11-21,N,58.0,0,1,50,41-50,Low
625,8785-LADJF,2020-08-19,Partner,2021-08-19,Basic,Annual,,,6.59,5652.0,8,Diya Iyer,India,Jharkhand,Female,1993-12-26,48.0,2023-10-26,N,79.0,0,1,27,21-30,Low
626,9446-GJBYP,2023-01-21,Paid,2023-02-20,Basic,Monthly,,,6.05,2708.0,5,Nikhil Rathore,India,Gujarat,Male,1987-09-04,50.0,2025-11-15,N,0.0,0,1,35,31-40,Low
627,6691-LNYKT,2026-05-02,Trial,2026-08-30,Basic,Monthly,,,12.9,1774.0,26,Aryan Sengupta,India,Bihar,Male,1970-08-12,51.0,2026-08-29,N,52.0,0,1,56,51-60,Low
628,9502-VWLQQ,2021-12-03,Paid,2022-01-02,Standard,Monthly,2025-07-31,Poor customer support,22.88,604.0,86,Payal Joshi,India,Andhra Pradesh,Female,1997-06-14,52.0,2022-05-25,N,45.0,1,1,24,21-30,High
629,3848-XKHGE,2025-09-21,Paid,2026-12-31,Basic,Annual,2026-01-01,Too expensive,11.31,467.0,90,Aditya Chopra,India,Assam,Male,1961-07-14,53.0,2025-11-25,N,21.0,1,1,64,61-70,High
630,0090-DPHFY,2020-11-21,Paid,2021-05-20,Standard,Monthly,2022-04-04,Switched to competitor,23.56,201.0,95,Ira Naidu,India,Rajasthan,Female,1965-11-20,56.0,2022-03-25,Y,39.0,1,1,55,51-60,High
631,7251-VZSPT,2021-01-11,Paid,2021-04-11,Basic,Monthly,,,7.93,1877.0,33,Priya Tiwari,India,Odisha,Female,1978-04-03,58.0,2024-08-13,N,52.0,0,1,43,41-50,Low
632,4681-HJLLT,2023-01-06,Trial,2023-02-05,Standard,Monthly,2026-03-16,Service issue,14.0,669.0,88,Krishna Kumar,India,Rajasthan,Male,1989-05-13,61.0,2025-07-02,N,18.0,1,1,34,31-40,High
633,1020-GPNUY,2020-04-19,Paid,2020-06-18,Premium,Monthly,,,28.76,2875.0,1,Parth Krishnan,India,Bihar,Male,1997-10-16,,,,,0,0,23,21-30,Low
634,3613-RHJPR,2021-03-06,Paid,2021-09-02,Standard,Monthly,,,15.59,362.0,8,Ajay Bansal,India,Bihar,Male,1969-10-22,65.0,2024-12-09,Y,4.0,0,1,51,51-60,Low
635,0444-CWPEQ,2023-11-24,Paid,2025-11-24,Standard,Annual,,,17.94,5205.0,2,Vihaan Malhotra,India,Bihar,Male,1984-05-14,,,,,0,0,40,31-40,Low
636,7705-AZTBM,2024-03-17,Referral,2025-03-17,Basic,Annual,2025-02-17,Too expensive,6.11,344.0,99,Manoj Reddy,India,Karnataka,Male,1957-10-13,69.0,2024-11-16,N,28.0,1,1,66,61-70,High
637,1874-UGQYJ,2022-09-11,Paid,2023-02-08,Basic,Monthly,,,11.3,5672.0,6,Priya Pandit,India,Jharkhand,Female,1965-04-11,,,,,0,0,57,51-60,Low
638,6149-NYGCU,2021-12-11,Paid,2024-12-11,Standard,Annual,2022-03-25,Switched to competitor,17.16,706.0,65,Reyansh Pillai,India,Jharkhand,Male,1965-11-10,71.0,2022-01-28,N,61.0,1,1,56,51-60,Medium
639,5590-APRDP,2024-09-19,Organic,2024-12-18,Premium,Monthly,,,35.24,5563.0,35,Lakshmi Mishra,India,Uttar Pradesh,Female,1994-01-26,,,,,0,0,31,31-40,Low
640,9707-JLHCJ,2019-04-13,Organic,2019-10-10,Basic,Monthly,2020-08-09,Other,11.4,792.0,99,Sunita Mishra,India,Goa,Female,1988-12-31,73.0,2019-09-06,N,24.0,1,1,30,21-30,High
641,5576-JVYJT,2023-12-27,Paid,2024-05-25,Premium,Monthly,,,43.28,3019.0,20,Nikhil Shah,India,Delhi,Male,1976-08-26,74.0,2024-11-16,N,57.0,0,1,47,41-50,Low
642,3630-NYHKX,2025-03-13,Paid,2025-08-10,Basic,Monthly,,,8.59,470.0,49,Aishwarya Naidu,India,Andhra Pradesh,Female,1985-11-03,82.0,2026-08-23,Y,1.0,0,1,39,31-40,Low
643,3777-DZGLD,2025-02-09,Organic,2026-12-31,Basic,Annual,,,5.99,4940.0,27,Aryan Joshi,India,Assam,Male,1979-10-22,83.0,2025-12-29,N,59.0,0,1,45,41-50,Low
644,5912-FKAYT,2026-02-24,Paid,2026-12-31,Basic,Annual,,,9.63,846.0,24,Rahul Gupta,India,Karnataka,Male,2004-08-23,86.0,2026-08-29,N,31.0,0,1,22,21-30,Low
645,7843-QLFBJ,2019-07-18,Paid,2019-10-16,Standard,Monthly,,,18.97,979.0,2,Saanvi Reddy,India,Bihar,Female,1999-02-12,88.0,2021-11-26,Y,67.0,0,1,20,11-20,Low
646,4066-DTPVV,2023-06-23,Paid,2023-12-20,Standard,Monthly,,,16.44,5114.0,19,Om Chauhan,India,Bihar,Male,1995-06-02,89.0,2023-11-08,N,18.0,0,1,28,21-30,Low
647,1625-GWGJX,2025-03-10,Paid,2026-03-10,Basic,Annual,,,9.57,5345.0,25,Rohan Chopra,India,West Bengal,Male,2004-07-09,,,,,0,0,21,21-30,Low
648,4720-YKYQC,2025-11-19,Paid,2026-03-19,Standard,Monthly,,,16.95,1777.0,31,Manish Subramaniam,India,Gujarat,Male,1993-02-20,90.0,2026-08-23,N,83.0,0,1,33,31-40,Low
649,5039-VZUKQ,2022-08-16,Partner,2022-10-15,Premium,Monthly,,,42.2,1726.0,16,Sanjay Pillai,India,Bihar,Male,1979-06-04,,,,,0,0,43,41-50,Low
650,9891-JACHX,2021-05-20,Paid,2021-11-16,Basic,Monthly,2022-01-31,Other,6.55,400.0,81,Parth Kapoor,India,Goa,Male,1958-08-11,,,,,1,0,63,61-70,High
651,8056-CRMPL,2021-10-07,Trial,2022-01-05,Basic,Monthly,,,9.73,5091.0,54,Nidhi Iyer,India,West Bengal,Female,1984-08-03,93.0,2026-05-25,Y,72.0,0,1,37,31-40,Medium
652,4135-LDNSA,2019-04-28,Paid,2019-06-27,Premium,Monthly,,,35.08,4004.0,23,Swati Patel,India,Gujarat,Female,2001-07-06,,,,,0,0,18,11-20,Low
653,4719-QYRDA,2019-09-09,Paid,2019-12-08,Standard,Monthly,,,15.58,3239.0,18,Vishal Rao,India,Kerala,Male,2004-06-01,95.0,2024-09-15,N,59.0,0,1,15,11-20,Low
654,2522-RYKSY,2021-01-12,Trial,2021-03-13,Premium,Monthly,,,38.9,677.0,14,Swati Tiwari,India,Assam,Female,1976-11-12,97.0,2024-08-15,N,9.0,0,1,44,41-50,Low
655,4526-PLSJA,2022-02-18,Paid,2025-02-18,Premium,Annual,,,35.41,3925.0,5,Tanya Pillai,India,Goa,Female,2007-01-10,100.0,2025-10-16,Y,67.0,0,1,15,11-20,Low
656,8903-NQLGY,2020-10-08,Paid,2020-12-07,Basic,Monthly,2021-05-04,Poor customer support,6.96,604.0,89,Abhishek Das,India,Rajasthan,Male,1991-11-08,107.0,2021-01-30,N,57.0,1,1,29,21-30,High
657,2068-SULDQ,2020-12-25,Trial,2021-04-24,Basic,Monthly,,,7.22,4189.0,13,Nikhil Mishra,India,Maharashtra,Male,1967-12-07,,,,,0,0,53,51-60,Low
658,6512-WCLXT,2019-01-21,Paid,2020-01-21,Premium,Annual,2020-06-06,Not using service,44.03,562.0,70,Meera Yadav,India,Chandigarh,Female,1958-03-22,108.0,2020-04-12,N,71.0,1,1,61,61-70,High
659,1646-QFYKA,2019-07-04,Paid,2020-07-04,Standard,Annual,2020-02-14,Other,14.07,99.0,97,Vikram Patel,India,Kerala,Male,1987-02-28,111.0,2019-10-03,N,96.0,1,1,32,31-40,High
660,1293-VNVXH,2020-03-11,Referral,2020-07-09,Standard,Monthly,,,20.8,5245.0,5,Deepika Kumar,India,Rajasthan,Female,1996-05-15,113.0,2025-08-06,Y,82.0,0,1,24,21-30,Low
661,5661-UKWPY,2019-09-11,Paid,2019-12-10,Standard,Monthly,,,20.39,1497.0,24,Isha Pillai,India,Gujarat,Female,1989-07-06,115.0,2024-11-29,Y,51.0,0,1,30,21-30,Low
662,4837-AXNJA,2021-01-24,Partner,2023-01-24,Basic,Annual,2023-03-19,Service issue,7.96,366.0,98,Raghav Yadav,India,Kerala,Male,1975-08-24,118.0,2023-01-30,N,38.0,1,1,45,41-50,High
663,0645-KQBUM,2019-01-11,Organic,2020-01-11,Standard,Annual,2021-01-14,Other,23.87,189.0,73,Sai Bhat,India,Punjab,Male,1992-04-11,125.0,2020-07-08,Y,77.0,1,1,27,21-30,High
664,4210-RKZLD,2021-08-17,Paid,2024-08-17,Basic,Annual,,,9.25,3015.0,18,Kavya Kumar,India,Rajasthan,Female,1990-08-27,127.0,2025-07-25,Y,97.0,0,1,31,31-40,Low
665,4295-UNWMD,2023-03-24,Paid,2026-03-24,Standard,Annual,2024-12-18,Service issue,18.87,743.0,72,Keshav Verma,India,Jharkhand,Male,2005-05-14,133.0,2024-09-22,N,81.0,1,1,18,11-20,High
666,0742-BKRDD,2025-11-21,Organic,2026-03-21,Basic,Monthly,,,9.15,3806.0,26,Varun Singh,India,Bihar,Male,1995-09-12,138.0,2026-09-01,N,35.0,0,1,30,21-30,Low
667,8017-VPJBY,2022-10-24,Paid,2023-02-21,Basic,Monthly,2023-01-16,Not using service,12.26,617.0,70,Sneha Pandey,India,Odisha,Female,1976-03-07,144.0,2022-11-23,N,32.0,1,1,47,41-50,High
668,2001-QCXGW,2019-12-21,Partner,2020-06-18,Standard,Monthly,2023-07-22,Too expensive,14.59,185.0,69,Vihaan Bansal,India,Rajasthan,Male,1966-04-19,145.0,2021-11-19,N,8.0,1,1,54,51-60,Medium
669,2417-VAJEE,2021-10-04,Paid,2022-02-01,Basic,Monthly,2025-05-14,Poor customer support,9.82,487.0,100,Pooja Menon,India,Maharashtra,Female,1966-10-28,146.0,2024-09-23,N,30.0,1,1,55,51-60,High
670,2076-ZPSDZ,2021-04-17,Paid,2021-09-14,Basic,Monthly,,,9.39,886.0,9,Keshav Pandey,India,Haryana,Male,2001-01-16,,,,,0,0,20,11-20,Low
671,0510-BRNPX,2020-07-19,Paid,2022-07-19,Standard,Annual,,,21.11,986.0,31,Gaurav Pandey,India,Delhi,Male,1962-04-01,150.0,2026-09-05,N,46.0,0,1,58,51-60,Low
