subscription_id,customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,support_id,complaint_date,escalations,csat_score
601,1824-AZJHH,2025-06-03,Paid,2025-08-02,Premium,Monthly,,,42.02,3439.0,44,0,Rakesh Iyer,India,Chandigarh,Male,1962-10-19,2.0,2026-06-24,N,87.0
602,9195-GYWYT,2022-04-11,Referral,2022-05-11,Basic,Monthly,,,12.92,2136.0,35,0,Kavita Pandey,India,Goa,Female,1979-12-16,7.0,2025-06-12,Y,95.0
603,5514-DCNDM,2021-06-13,Paid,2021-07-13,Standard,Monthly,2024-09-24,Too expensive,24.51,460.0,67,1,Jaya Malhotra,India,Karnataka,Female,1996-03-20,9.0,2023-10-07,Y,9.0
604,5925-UGYCB,2021-10-08,Referral,2021-11-07,Basic,Monthly,2023-02-24,Service issue,11.32,270.0,77,1,Om Bhat,India,Delhi,Male,1975-11-20,10.0,2023-02-23,Y,16.0
605,4374-YXWCV,2024-05-04,Trial,2024-10-31,Standard,Monthly,,,22.79,1122.0,50,0,Varun Chopra,India,West Bengal,Male,1996-06-21,14.0,2026-04-20,N,74.0
606,5168-NJCGU,2022-02-26,Paid,2025-02-26,Standard,Annual,2022-08-20,Poor customer support,16.91,664.0,91,1,Sneha Yadav,India,Bihar,Female,1996-03-01,15.0,2022-07-22,N,64.0
607,9560-NMHES,2021-06-05,Paid,2023-06-05,Premium,Annual,2023-02-04,Not using service,28.18,728.0,97,1,Myra Patel,India,Tamil Nadu,Female,1968-09-17,17.0,2021-07-27,N,26.0
608,7668-SJTAX,2026-05-17,Paid,2026-12-31,Basic,Annual,,,10.58,1533.0,2,0,Ashok Rathore,India,Telangana,Male,1985-07-08,19.0,2026-07-10,N,30.0
609,8317-DWKWS,2024-12-09,Referral,2026-12-09,Premium,Annual,,,48.21,892.0,2,0,Ishaan Mukherjee,India,West Bengal,Male,2003-05-23,21.0,2025-04-01,N,26.0
610,5038-HBHUC,2025-12-17,Organic,2026-02-15,Basic,Monthly,,,12.67,2996.0,47,0,Kunal Yadav,India,Delhi,Male,2002-10-16,24.0,2026-07-20,N,22.0
611,6932-GTZYG,2022-05-23,Referral,2023-05-23,Premium,Annual,2022-10-25,Other,31.02,629.0,90,1,Nisha Mukherjee,India,Odisha,Female,2001-06-07,25.0,2022-09-20,Y,94.0
612,9641-HACYW,2020-01-29,Referral,2020-06-27,Premium,Monthly,,,30.92,2953.0,5,0,Yash Reddy,India,Karnataka,Male,1984-08-23,26.0,2023-04-28,Y,77.0
613,9355-URHRP,2024-05-22,Paid,2024-07-21,Standard,Monthly,,,19.44,1100.0,50,0,Reyansh Iyer,India,Madhya Pradesh,Male,1986-10-14,,,,
614,1790-HGGTQ,2025-07-15,Organic,2026-12-31,Premium,Annual,,,49.9,335.0,42,0,Pradeep Mehta,India,Telangana,Male,1996-07-03,28.0,2026-07-31,Y,26.0
615,8856-ACHFP,2020-10-23,Trial,2021-10-23,Standard,Annual,2023-11-19,Poor customer support,14.96,356.0,100,1,Aishwarya Joshi,India,Bihar,Female,1960-04-05,30.0,2022-12-12,Y,41.0
616,9105-XYREG,2022-07-22,Paid,2025-07-22,Standard,Annual,2025-01-30,Poor customer support,22.49,427.0,92,1,Sneha Patel,India,Goa,Female,2003-08-23,31.0,2023-07-06,N,10.0
617,8701-FBSCF,2024-07-03,Paid,2024-11-30,Premium,Monthly,,,27.71,607.0,5,0,Raghav Reddy,India,Rajasthan,Male,1991-03-23,33.0,2026-05-22,N,74.0
618,6868-XUUSL,2026-02-22,Referral,2026-03-24,Standard,Monthly,,,24.83,1687.0,18,0,Sneha Agarwal,India,Rajasthan,Female,1978-10-30,35.0,2026-08-07,N,8.0
619,9224-DCTGS,2021-10-18,Organic,2022-04-16,Basic,Monthly,,,6.33,2084.0,21,0,Anika Chatterjee,India,Delhi,Female,1976-11-30,39.0,2024-08-21,Y,31.0
